Station_No,date,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity,hour,day_of_week,hour_sin,hour_cos,PM2.5_lag1,PM2.5_roll3
1,2021-02-23 21:00:00,0.2315987728637491,0.2837745390199934,0.2417472660258264,0.2891150803853658,0.2445092322540068,0.5879644852485819,0.418002133450863,0.584469244623811,21,1,0.1464466094067261,0.8535533905932737,0.2837745390199934,0.2645059478813347
3,2021-02-23 21:00:00,0.0,0.2345881069391975,0.2835332606037713,0.37551341421611,0.150437317790453,0.5128012400977378,0.4148141791116324,0.5893560652637648,21,1,0.1464466094067261,0.8535533905932737,0.2477723222516718,0.2390060546268571
4,2021-02-23 21:00:00,0.1879220982812771,0.2502273140684773,0.2161185226922463,0.3849221352362538,0.113832199548895,0.5090430778326649,0.0079821474565242,0.0,21,1,0.1464466094067261,0.8535533905932737,0.4471722131499897,0.2998120870597602
5,2021-02-23 21:00:00,0.1932556273863707,0.2577408752617631,0.2520284601828946,0.3549554590964775,0.1361871577999956,0.5157802711009023,0.4115484699015619,0.59276237613145,21,1,0.1464466094067261,0.8535533905932737,0.3374552949780622,0.2847623947513834
2,2021-02-23 21:00:00,0.1947341074716581,0.2538891369455305,0.3247355483366429,0.3922679357518877,0.1266233766292915,0.5494006156473437,0.4045146340064398,0.602243245315653,21,1,0.1464466094067261,0.8535533905932737,0.1597260107910404,0.1484900066503834
4,2021-02-23 22:00:00,0.1780297199345636,0.2395087877904851,0.22359403915056,0.3484626204268062,0.1138055222190895,0.5078824689532355,0.0079821474565242,0.0,22,1,0.2499999999999997,0.9330127018922192,0.2502273140684773,0.2998120870597602
2,2021-02-23 22:00:00,0.1827451911035623,0.2390809023567504,0.3318659274679519,0.356683092653267,0.1265306122448979,0.5485037815406234,0.402091211810504,0.6099062283078698,22,1,0.2499999999999997,0.9330127018922192,0.2538891369455305,0.1484900066503834
3,2021-02-23 22:00:00,0.0,0.2210319230869718,0.6642606245242795,0.3567122091225491,0.3212925170357197,0.5751354296848645,0.412785480802126,0.5961022738541366,22,1,0.2499999999999997,0.9330127018922192,0.2345881069391975,0.2390060546268571
5,2021-02-23 22:00:00,0.1827853014393717,0.2423581147591543,0.2560527151486842,0.3549554590964775,0.1370439084777375,0.5078472989232956,0.409664406559036,0.599456659440761,22,1,0.2499999999999997,0.9330127018922192,0.2577408752617631,0.2847623947513834
1,2021-02-23 22:00:00,0.2175114503245341,0.2653958474388705,0.2538094498265437,0.2891150803853658,0.2436974790171116,0.5647523066057012,0.4158744266442149,0.5912197106947248,22,1,0.2499999999999997,0.9330127018922192,0.2837745390199934,0.2645059478813347
5,2021-02-23 23:00:00,0.1645099676126505,0.2242225859349074,0.2572590425500008,0.3549554590964775,0.134761904769134,0.5044393290165319,0.4102652135284981,0.6048236763332374,23,1,0.3705904774487392,0.982962913144534,0.2423581147591543,0.2414405253186083
4,2021-02-23 23:00:00,0.1622011791756146,0.2249196823160993,0.2171648712076051,0.3434413708616283,0.1153061224489796,0.5037816507218082,0.0079821474565242,0.0,23,1,0.3705904774487392,0.982962913144534,0.2395087877904851,0.2382185947250206
