Station_No,date,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity,hour,day_of_week,hour_sin,hour_cos,PM2.5_lag1,PM2.5_roll3,PM2.5_lag2,PM2.5_lag3,PM2.5_lag6,PM2.5_lag12,PM2.5_lag24,PM2.5_roll3_mean,PM2.5_roll3_std,PM2.5_roll6_mean,PM2.5_roll6_std,PM2.5_roll12_mean,PM2.5_roll12_std,Temperature_lag1,Temperature_lag3,Humidity_lag1,Humidity_lag3,NO2_lag1,NO2_lag3,SO2_lag1,SO2_lag3
2,2021-02-23 21:00:00,0.1947341074716581,0.2538891369455305,0.3247355483366429,0.3922679357518877,0.1266233766292915,0.5494006156473437,0.4045146340064398,0.602243245315653,21,0.1666666666666666,0.1464466094067261,0.8535533905932737,0.1597260107910404,0.1484900066503833,0.1633630357048265,0.1394192883678587,0.240952900538323,0.8419333816985787,0.2103412742412412,0.1484900066503833,0.0415313852407664,0.1793651261613944,0.1078199412346936,0.2981516534058383,0.4375979523780954,0.4652819501270762,0.62380911503284,0.7021812242144712,0.6331699817814933,0.0,0.0,0.8924695823205062,0.8924695823205062
2,2021-02-23 22:00:00,0.1827451911035623,0.2390809023567504,0.3318659274679519,0.356683092653267,0.1265306122448979,0.5485037815406234,0.402091211810504,0.6099062283078698,22,0.1666666666666666,0.2499999999999997,0.9330127018922192,0.2538891369455305,0.1484900066503833,0.1633630357048265,0.1394192883678587,0.240952900538323,0.8419333816985787,0.2103412742412412,0.1484900066503833,0.0415313852407664,0.1793651261613944,0.1078199412346936,0.2981516534058383,0.4375979523780954,0.4045146340064398,0.62380911503284,0.602243245315653,0.6331699817814933,0.1266233766292915,0.0,0.5494006156473437,0.8924695823205062
2,2021-02-23 23:00:00,0.1641114964843574,0.2224040734780144,0.3277448811487194,0.3486441113749452,0.1272789115573966,0.5485037815406234,0.4024547249854011,0.6151820890170079,23,0.1666666666666666,0.3705904774487392,0.982962913144534,0.2390809023567504,0.2384580375934318,0.2538891369455305,0.1394192883678587,0.240952900538323,0.8419333816985787,0.2103412742412412,0.2384580375934318,0.0288392739826962,0.1793651261613944,0.1078199412346936,0.2981516534058383,0.4375979523780954,0.402091211810504,0.62380911503284,0.6099062283078698,0.6331699817814933,0.1265306122448979,0.0,0.5485037815406234,0.8924695823205062
2,2021-02-24 00:00:00,0.1458990230448718,0.2047341940445869,0.3153313832552917,0.3605015199866907,0.1261224489795918,0.5478461030952864,0.4009956229338247,0.6213510137791871,0,0.3333333333333333,0.5,1.0,0.2224040734780144,0.2220730566264506,0.2390809023567504,0.2538891369455305,0.240952900538323,0.8419333816985787,0.2103412742412412,0.2220730566264506,0.0314463736541683,0.1793651261613944,0.1078199412346936,0.2981516534058383,0.4375979523780954,0.4024547249854011,0.4045146340064398,0.6151820890170079,0.602243245315653,0.1272789115573966,0.1266233766292915,0.5485037815406234,0.5494006156473437
2,2021-02-24 01:00:00,0.1358669270401422,0.1946111414891167,0.3056288791692189,0.3693340794627868,0.1273469387755102,0.5491614599859604,0.3993648614538434,0.6265590467569905,1,0.3333333333333333,0.6294095225512604,0.982962913144534,0.2047341940445869,0.207249803003906,0.2224040734780144,0.2390809023567504,0.240952900538323,0.8419333816985787,0.2103412742412412,0.207249803003906,0.0257532316890418,0.1793651261613944,0.1078199412346936,0.2981516534058383,0.4375979523780954,0.4009956229338247,0.402091211810504,0.6213510137791871,0.6099062283078698,0.1261224489795918,0.1265306122448979,0.5478461030952864,0.5485037815406234
2,2021-02-24 02:00:00,0.135058265092057,0.191731829977802,0.3144752799522967,0.3753837777340855,0.1294557823201544,0.5504768167260213,0.3974766113462324,0.6313827232055348,2,0.3333333333333333,0.75,0.9330127018922194,0.1946111414891167,0.1970257218371685,0.2047341940445869,0.2224040734780144,0.240952900538323,0.8419333816985787,0.2103412742412412,0.1970257218371685,0.0125033095037211,0.2177418797153002,0.0493432466998124,0.2981516534058383,0.4375979523780954,0.3993648614538434,0.4024547249854011,0.6265590467569905,0.6151820890170079,0.1273469387755102,0.1272789115573966,0.5491614599859604,0.5485037815406234
2,2021-02-24 03:00:00,0.1316947001306785,0.1902164029910082,0.322893629127489,0.3756257656649375,0.1308843537487258,0.5485037815406234,0.3960175092946558,0.6356875180167195,3,0.3333333333333333,0.8535533905932737,0.8535533905932737,0.191731829977802,0.1921864581526423,0.1946111414891167,0.2047341940445869,0.2538891369455305,0.8419333816985787,0.2103412742412412,0.1921864581526423,0.0040871432032109,0.2071297573895464,0.0386326973381802,0.2981516534058383,0.4375979523780954,0.3974766113462324,0.4009956229338247,0.6313827232055348,0.6213510137791871,0.1294557823201544,0.1261224489795918,0.5504768167260213,0.5478461030952864
2,2021-02-24 04:00:00,0.1278975048961911,0.1851851851329871,0.3256046228912319,0.3727219104947141,0.1324489795918367,0.5485037815406234,0.394215088901247,0.6398001345632749,4,0.3333333333333333,0.9330127018922192,0.75,0.1902164029910082,0.1890444727005991,0.191731829977802,0.1946111414891167,0.2390809023567504,0.8419333816985787,0.2103412742412412,0.1890444727005991,0.0062744549380949,0.1981471378522526,0.026552756037296,0.2981516534058383,0.4375979523780954,0.3960175092946558,0.3993648614538434,0.6356875180167195,0.6265590467569905,0.1308843537487258,0.1273469387755102,0.5485037815406234,0.5491614599859604
2,2021-02-24 05:00:00,0.1264442573841922,0.1837303751674728,0.320325319218504,0.3696970613590647,0.1314285714285714,0.5485037815406234,0.3941292591870446,0.6434130873450562,5,0.3333333333333333,0.982962913144534,0.6294095225512604,0.1851851851329871,0.186377321097156,0.1902164029910082,0.191731829977802,0.2224040734780144,0.8419333816985787,0.2103412742412412,0.186377321097156,0.0062311189645099,0.1917015214671623,0.0148476751029246,0.2981516534058383,0.4375979523780954,0.394215088901247,0.3974766113462324,0.6398001345632749,0.6313827232055348,0.1324489795918367,0.1294557823201544,0.5485037815406234,0.5504768167260213
2,2021-02-24 06:00:00,0.1297492236068016,0.1865490694756569,0.3100520795825638,0.3698180553244907,0.1288435374221952,0.5524498519114193,0.3924126685078384,0.6471029115018738,6,0.3333333333333333,1.0,0.5,0.1837303751674728,0.1851548765920389,0.1851851851329871,0.1902164029910082,0.2047341940445869,0.8419333816985787,0.2103412742412412,0.1851548765920389,0.0025807636640152,0.1886706673723406,0.0082333938605139,0.2981516534058383,0.4375979523780954,0.3941292591870446,0.3960175092946558,0.6434130873450562,0.6356875180167195,0.1314285714285714,0.1308843537487258,0.5485037815406234,0.5485037815406234
