date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
2021-02-26 22:00:00,4,52.02439024,25.47560976,26.42868293,824.5609756,50.44678049,341.8780488,28.3,71.60487805
2021-02-27 16:00:00,4,73.05,34.75,17.667,848.04,54.578,393.0,29.2,70.55
2021-02-27 17:00:00,4,74.5,34.82272727,20.34381818,840.2263636,53.29481818,400.7409091,29.12272727,70.48409091
2021-02-27 18:00:00,4,72.67833333,34.13333333,20.4152,805.065,55.11123333,395.62,29.04833333,70.55
2021-02-27 19:00:00,4,70.55666667,33.34833333,21.2004,763.236,57.1187,389.07,28.95166667,70.52833333
2021-02-27 20:00:00,4,68.69333333,32.65666667,21.72386667,780.999,58.02833333,391.2533333,28.885,70.78833333
2021-02-27 21:00:00,4,66.49,31.61166667,20.0226,775.46,57.24416667,386.8866667,28.85333333,70.14833333
2021-02-27 22:00:00,4,64.82121212,30.5,19.09463636,775.8072727,55.09127273,375.5333333,28.75454545,69.74545455
2021-02-27 23:00:00,4,54.93333333,26.31904762,18.78871429,686.5085714,52.8752381,368.047619,28.75238095,68.45714286
2021-02-28 00:00:00,4,50.185,24.555,18.8448,689.319,52.57053333,366.8,28.69666667,68.67333333
2021-02-28 01:00:00,4,44.77333333,22.37333333,18.0596,672.893,53.95066667,366.8,28.64833333,69.06666667
2021-02-28 02:00:00,4,39.48166667,19.97166667,18.68121667,631.255,54.1075,367.6733333,28.57666667,69.27333333
2021-02-28 03:00:00,4,35.17333333,18.01333333,20.05531667,631.064,56.20906667,366.8,28.52833333,69.56666667
2021-02-28 04:00:00,4,30.935,16.04666667,21.65843333,658.186,55.519,366.8,28.485,69.9
2021-02-28 05:00:00,4,28.99666667,15.22,22.1819,700.397,55.76993333,366.8,28.43833333,70.28333333
2021-02-28 06:00:00,4,26.425,14.13166667,22.47635,742.99,56.14633333,366.8,28.41833333,70.655
2021-02-28 07:00:00,4,25.30666667,13.54833333,21.92016667,738.024,57.74603333,366.8,28.45833333,71.14833333
2021-02-28 08:00:00,4,23.945,12.72333333,21.75658333,725.609,57.33826667,367.2366667,28.665,70.98
2021-02-28 09:00:00,4,24.38833333,12.43666667,19.07381667,680.151,56.14633333,368.5466667,28.91333333,70.02333333
2021-02-28 10:00:00,4,23.645,11.85,17.50341667,642.906,51.31586667,376.4066667,29.17166667,69.00166667
2021-02-28 11:00:00,4,20.715,10.68666667,14.65706667,568.034,50.02983333,369.8566667,29.24833333,68.27166667
2021-02-28 12:00:00,4,19.925,10.48333333,14.03545,547.979,49.24566667,367.2366667,29.33,68.00666667
2021-02-28 13:00:00,4,19.305,10.56,14.23175,543.204,50.0612,367.2366667,29.43833333,67.94333333
2021-02-28 14:00:00,4,17.43166667,9.561666667,14.29718333,534.8,48.21056667,371.6033333,29.56,67.55666667
2021-02-28 15:00:00,4,16.90833333,9.078333333,15.34411667,541.676,48.4615,369.8566667,29.485,67.80666667
2021-02-28 16:00:00,4,18.69166667,9.3,14.42805,532.699,47.8969,375.5333333,29.66166667,66.615
2021-02-28 17:00:00,4,22.34166667,10.84,14.49348333,531.171,47.2382,373.7866667,29.6,66.49666667
2021-02-28 18:00:00,4,23.00833333,11.35666667,15.86758333,560.203,49.18293333,367.6733333,29.42166667,66.72666667
2021-02-28 19:00:00,4,20.88166667,10.72833333,17.37255,545.496,52.2255,355.01,29.315,66.92166667
2021-02-28 20:00:00,4,21.11666667,11.13333333,18.6485,556.765,54.7662,342.3466667,29.21666667,67.85833333
2021-02-28 21:00:00,4,20.56,10.99666667,20.31705,578.73,53.66836667,345.84,29.13333333,68.91833333
2021-02-28 22:00:00,4,20.68166667,11.025,21.06953333,554.664,54.04476667,340.6,29.04833333,69.84
2021-02-28 23:00:00,4,20.85,11.20166667,21.0041,529.261,54.0134,341.91,29.015,70.12166667
2021-03-01 00:00:00,4,21.16333333,11.44166667,20.31705,543.395,52.696,340.1633333,28.99166667,70.18666667
2021-03-01 01:00:00,4,21.38166667,11.495,19.49913333,520.475,53.51153333,338.8533333,28.94333333,70.26666667
2021-03-01 02:00:00,4,20.165,10.94166667,18.61578333,515.7,53.0724,334.9233333,28.88166667,70.12666667
2021-03-01 03:00:00,4,18.67333333,10.45,18.2559,533.272,51.81773333,339.29,28.84833333,70.00166667
2021-03-01 04:00:00,4,19.08,10.61833333,18.51763333,545.114,51.44133333,340.6,28.77166667,69.99666667
2021-03-01 05:00:00,4,18.40333333,10.405,18.97566667,559.63,51.59816667,341.4733333,28.75833333,70.04
2021-03-01 06:00:00,4,18.51666667,10.655,19.63,614.638,52.00593333,344.53,28.735,70.22833333
2021-03-01 07:00:00,4,19.32166667,10.835,19.4337,682.252,53.76246667,361.56,28.78833333,70.29
2021-03-01 08:00:00,4,26.25333333,13.00833333,29.87031667,679.96,50.68853333,345.84,28.85333333,69.05833333
