date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
2021-02-23 21:00:00,5,27.48292683,14.17317073,57.78880488,1374.361463,62.79453659,345.0731707,28.23658537,63.90731707
2021-02-23 22:00:00,5,25.99393939,13.32727273,58.71154545,1262.683636,63.18957576,339.8060606,28.2,64.48787879
2021-02-23 23:00:00,5,23.395,12.33,58.98815,1238.253,62.13736667,337.5433333,28.21166667,64.95333333
2021-02-24 00:00:00,5,21.045,11.635,56.927,1246.275,61.98053333,336.67,28.195,65.48833333
2021-02-24 01:00:00,5,19.665,11.08333333,56.46896667,1260.791,62.45103333,336.2333333,28.16333333,65.94833333
2021-02-24 02:00:00,5,18.94833333,10.765,57.97393333,1276.453,62.45103333,334.9233333,28.12333333,66.32666667
2021-02-24 03:00:00,5,18.89666667,10.72833333,60.13323333,1257.162,63.36066667,334.9233333,28.09333333,66.70666667
2021-02-24 04:00:00,5,18.18,10.46333333,59.93693333,1237.489,63.73706667,336.67,28.08333333,67.06166667
2021-02-24 05:00:00,5,18.18833333,10.46166667,60.82028333,1255.443,61.19636667,338.8533333,28.07,67.36833333
2021-02-24 06:00:00,5,18.47666667,10.50333333,57.77763333,1202.536,62.7647,338.8533333,28.04166667,67.68666667
2021-02-24 07:00:00,5,20.05833333,10.98,60.0678,1256.207,62.45103333,347.15,28.05833333,67.94666667
2021-02-24 08:00:00,5,27.69333333,13.95,61.08201667,1181.144,61.19636667,346.2766667,28.09333333,68.025
2021-02-24 09:00:00,5,56.105,24.92666667,85.16148333,768.584,64.1762,301.3,28.1,67.26333333
2021-02-24 10:00:00,5,69.19,30.3,96.9722,953.472,70.0104,282.96,28.36,66.45
2021-02-24 11:00:00,5,52.27391304,25.60434783,39.17465217,915.3052174,42.87686957,264.2782609,26.1826087,58.08695652
2021-02-24 12:00:00,5,47.09833333,22.84833333,45.18171667,1069.218,42.03133333,271.6066667,25.93833333,60.41333333
2021-02-24 13:00:00,5,35.61,18.57833333,51.52875,1116.013,46.8618,280.34,26.085,62.28166667
2021-02-24 14:00:00,5,29.36166667,15.70333333,52.70655,1102.643,47.2382,289.9466667,26.12166667,62.86166667
2021-02-24 15:00:00,5,28.28,14.89818182,48.53963636,1340.403273,45.88658182,286.2945455,26.12363636,62.26363636
2021-02-24 16:00:00,5,27.62333333,14.40166667,47.112,1260.409,45.13663333,275.9733333,26.07166667,60.89333333
2021-02-24 17:00:00,5,38.075,18.00333333,60.68941667,1002.368,54.4839,291.2566667,27.64,63.25
2021-02-24 18:00:00,5,37.925,17.96666667,49.2713,913.935,47.17546667,303.92,28.095,63.11166667
2021-02-24 19:00:00,5,34.625,16.70166667,48.55153333,887.004,45.9208,304.7933333,28.19833333,63.73833333
2021-02-24 20:00:00,5,30.99666667,15.315,47.92991667,861.983,46.54813333,304.3566667,28.2,64.29666667
2021-02-24 21:00:00,5,29.365,14.75666667,47.37373333,882.611,45.51303333,303.4833333,28.225,64.64333333
2021-02-24 22:00:00,5,28.78833333,14.42166667,47.112,903.43,45.7326,307.85,28.2,65.04166667
2021-02-24 23:00:00,5,28.95833333,14.60333333,46.45766667,900.374,46.35993333,306.9766667,28.2,65.13333333
2021-02-25 00:00:00,5,28.36666667,14.49666667,46.62125,918.328,45.32483333,309.16,28.19833333,65.22833333
2021-02-25 01:00:00,5,28.055,14.36333333,46.7194,933.799,45.13663333,311.3433333,28.17,65.35
2021-02-25 02:00:00,5,28.77833333,14.3,47.24286667,907.823,45.13663333,306.54,28.07,65.64833333
2021-02-25 03:00:00,5,27.97666667,13.97833333,46.68668333,892.352,45.8267,303.92,28.09333333,65.61833333
2021-02-25 04:00:00,5,25.38666667,13.09333333,46.49038333,881.465,45.32483333,302.61,28.05666667,65.83333333
2021-02-25 05:00:00,5,23.44166667,12.46,45.77061667,885.476,45.38756667,302.61,28.00333333,66.245
2021-02-25 06:00:00,5,23.48333333,12.38,46.1305,895.026,45.4503,301.3,27.93833333,66.62666667
2021-02-25 07:00:00,5,24.50166667,12.60166667,47.43916667,930.552,46.2031,306.1033333,27.93333333,66.92333333
2021-02-25 08:00:00,5,26.83050847,13.21355932,49.50752542,965.359322,47.97505085,309.959322,28.10677966,66.96271186
2021-02-26 11:00:00,5,32.93939394,17.43333333,50.97851515,2398.265455,53.66551515,288.9939394,27.19393939,68.06666667
2021-02-26 12:00:00,5,34.06666667,17.41666667,53.16458333,1931.201,54.42116667,298.2433333,27.22,69.02833333
2021-02-26 13:00:00,5,36.08,18.9,52.93556667,1970.738,54.7662,303.4833333,27.17166667,68.69
2021-02-26 14:00:00,5,34.95666667,18.52,52.70655,1592.176,55.2367,299.99,27.11666667,67.82666667
2021-02-26 15:00:00,5,38.56,19.92166667,56.40353333,1369.661,55.92676667,307.4133333,27.23333333,68.38333333
2021-02-26 16:00:00,5,44.51166667,22.12166667,61.89993333,1093.284,58.93796667,303.92,27.28,69.58166667
2021-02-26 17:00:00,5,49.99166667,24.09166667,57.97393333,956.719,59.97306667,317.02,27.97166667,68.83
2021-02-26 18:00:00,5,53.695,25.82666667,52.64111667,957.101,56.99323333,337.5433333,28.645,67.93
2021-02-26 19:00:00,5,55.72,26.74333333,53.36088333,847.085,57.15006667,339.7266667,28.72666667,68.97
2021-02-26 20:00:00,5,53.34833333,25.96333333,53.5899,790.167,57.5892,330.12,28.73833333,69.32166667
2021-02-26 21:00:00,5,50.15,24.60833333,53.7862,778.898,57.9656,329.6833333,28.765,69.655
2021-02-26 22:00:00,5,49.92222222,24.51555556,53.61171111,779.7893333,57.67284444,331.2844444,28.76666667,69.79777778
2021-02-27 16:00:00,5,76.15,36.55,49.075,1037.13,44.227,393.0,29.6,68.8
2021-02-27 17:00:00,5,74.0575,35.23,46.277725,1065.78,42.345,397.585,29.5425,68.8925
2021-02-27 18:00:00,5,71.20833333,33.85333333,45.31258333,1050.309,42.28226667,393.4366667,29.45833333,69.00166667
2021-02-27 19:00:00,5,68.95166667,32.96666667,46.65396667,1025.67,42.84686667,392.5633333,29.36666667,69.10166667
2021-02-27 20:00:00,5,68.25,32.55,48.81326667,1021.086,44.07016667,387.76,29.29333333,69.37
2021-02-27 21:00:00,5,66.37,31.56,46.68668333,1022.805,42.69003333,385.14,29.26333333,68.775
2021-02-27 22:00:00,5,63.25135135,30.04324324,45.62648649,1006.311892,42.62475676,376.7135135,29.12972973,68.58648649
2021-02-27 23:00:00,5,59.22941176,28.29411765,42.37770588,907.3623529,40.73976471,365.2588235,29.1,67.29411765
2021-02-28 00:00:00,5,52.795,25.55666667,42.7934,866.758,42.28226667,355.4466667,29.05166667,67.37333333
2021-02-28 01:00:00,5,46.765,23.23833333,43.90576667,848.04,43.34873333,351.08,29.0,67.715
2021-02-28 02:00:00,5,40.775,20.49666667,43.15328333,823.783,43.0978,346.2766667,28.92,67.95333333
2021-02-28 03:00:00,5,36.255,18.35333333,45.01813333,798.762,44.35246667,342.3466667,28.9,68.26833333
2021-02-28 04:00:00,5,31.93166667,16.31833333,46.19593333,818.817,44.47793333,344.0933333,28.83,68.59666667
2021-02-28 05:00:00,5,29.475,15.21666667,46.88298333,862.365,44.63476667,349.3333333,28.80666667,68.97166667
2021-02-28 06:00:00,5,26.845,14.175,47.96263333,894.453,45.6385,350.6433333,28.76833333,69.33166667
