Station_No,date,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity,hour,day_of_week,hour_sin,hour_cos,PM2.5_lag1,PM2.5_roll3
1,2021-02-23 21:00:00,0.23159877286374914,0.28377453901999344,0.24174726602582647,0.2891150803853658,0.24450923225400684,0.5879644852485819,0.418002133450863,0.584469244623811,21,1,0.14644660940672616,0.8535533905932737,0.28377453901999344,0.26450594788133475
1,2021-02-23 22:00:00,0.2175114503245341,0.26539584743887057,0.25380944982654374,0.2891150803853658,0.24369747901711167,0.5647523066057012,0.4158744266442149,0.5912197106947248,22,1,0.24999999999999978,0.9330127018922192,0.28377453901999344,0.26450594788133475
1,2021-02-23 23:00:00,0.19439530047667122,0.2443474571851404,0.2399942925917308,0.2891150803853658,0.24442176863519055,0.5570536007275522,0.4167024292192434,0.596194868838282,23,1,0.3705904774487392,0.9829629131445341,0.26539584743887057,0.26450594788133475
1,2021-02-24 00:00:00,0.17143633299407648,0.22485906529481997,0.23885282153560808,0.2891150803853658,0.24394557830358504,0.5820453796923881,0.4150716677392621,0.602306140098011,0,2,0.5,1.0,0.2443474571851404,0.2448674566396103
1,2021-02-24 01:00:00,0.15836882472599317,0.21161423296106635,0.23457230502063303,0.2891150803853658,0.24795918367346945,0.5879644852485819,0.41481417911163243,0.6075333909484002,1,2,0.6294095225512604,0.9829629131445341,0.22485906529481997,0.22694025181367558
1,2021-02-24 02:00:00,0.1557084440672975,0.20967448627976337,0.24341870580371083,0.2891150803853658,0.25156462577804767,0.5899375204339798,0.41241095174876174,0.6118381858748919,2,2,0.75,0.9330127018922194,0.21161423296106635,0.21538259484521657
1,2021-02-24 03:00:00,0.1516885738505062,0.204431108756339,0.2389955054339779,0.2891150803853658,0.24761904769134013,0.5879644852485819,0.41052270215612774,0.6160276736811762,3,2,0.8535533905932737,0.8535533905932737,0.20967448627976337,0.20857327599905623
1,2021-02-24 04:00:00,0.14758666537131068,0.20240043645219138,0.2348576727737607,0.2891150803853658,0.24707482985968035,0.5879644852485819,0.409664406559036,0.6202555972326319,4,2,0.9330127018922193,0.75,0.204431108756339,0.20550201049609793
1,2021-02-24 05:00:00,0.14738742984232336,0.20112747773236628,0.23029178850565796,0.2891150803853658,0.24510204081632656,0.5879644852485819,0.40906359958957395,0.6236187181320266,5,2,0.9829629131445341,0.6294095225512604,0.20240043645219138,0.20265300764696553
1,2021-02-24 06:00:00,0.15007124995433566,0.2032490756593585,0.2368552471764904,0.2891150803853658,0.2502040816326531,0.5978296611755716,0.4076903272521999,0.6273469780340157,6,2,1.0,0.5,0.20112747773236628,0.20225899661463873
1,2021-02-24 07:00:00,0.1652483111304675,0.21431169304484055,0.24113576369146547,0.2891150803853658,0.2511564625127416,0.6267675105112033,0.40923525901797886,0.6304218314211589,7,2,0.9829629131445341,0.3705904774487397,0.2032490756593585,0.20622941547885512
1,2021-02-24 08:00:00,0.2352737479158609,0.2855064557322016,0.2862238709534614,0.2891150803853658,0.24537414973215646,0.5984873396209086,0.408977770390349,0.6319016047275873,8,2,0.9330127018922194,0.2500000000000001,0.21431169304484055,0.23435574147880026
1,2021-02-24 09:00:00,0.5106172813931446,0.5619506577815037,0.5175144466604842,0.23648270542506697,0.25904761911991153,0.4544557710868601,0.40631705439984844,0.6258287690977228,9,2,0.8535533905932737,0.14644660940672627,0.2855064557322016,0.35392293551951526
1,2021-02-24 10:00:00,0.6903707220718016,0.7565011820674898,0.5745404388504164,0.2891150803853658,0.2721088436097075,0.4257371477992651,0.41824736098502235,0.6166362384548861,10,2,0.75,0.06698729810778065,0.5619506577815037,0.5346527651937317
1,2021-02-24 11:00:00,0.4110405242875048,0.48872522278999486,0.17585788683809586,0.2891150803853658,0.1852040816326531,0.44163104238177353,0.28692816089381656,0.5359853944076103,11,2,0.6294095225512605,0.0170370868554659,0.7565011820674898,0.6023923542129961
1,2021-02-24 12:00:00,0.3796843642335997,0.4473237557941137,0.25326389378815345,0.2891150803853658,0.21265306122448982,0.47747451486629805,0.2811775813717581,0.5585279138656674,12,2,0.5000000000000001,0.0,0.48872522278999486,0.5641833868838662
1,2021-02-24 13:00:00,0.2852584321451117,0.3625507668831857,0.27081401149955114,0.2891150803853658,0.23204081632653065,0.5248273593158482,0.28692816089381656,0.5804554626693572,13,2,0.37059047744873963,0.017037086855465844,0.4473237557941137,0.4328665818224314
1,2021-02-24 14:00:00,0.23859043390028775,0.30287324969552987,0.25654562314537566,0.2891150803853658,0.22496598646685034,0.5498191382806843,0.28864475157302305,0.5862592485442492,14,2,0.2500000000000001,0.06698729810778059,0.3625507668831857,0.3709159241242764
1,2021-02-24 15:00:00,0.2413428981607437,0.29625516331588725,0.24230780984686137,0.2891150803853658,0.21793002906157152,0.5477991261818156,0.28763318896019796,0.5779557715768233,15,2,0.14644660940672644,0.14644660940672605,0.30287324969552987,0.32055972663153426
1,2021-02-24 16:00:00,0.22845286017983735,0.27859610839600824,0.24584433185793803,0.2891150803853658,0.22333333340562583,0.5320618216121029,0.2850399107862056,0.5641587393485155,16,2,0.06698729810778076,0.24999999999999978,0.29625516331588725,0.2925748404691418
1,2021-02-24 17:00:00,0.32116771048856985,0.368188155499554,0.38795748015510984,0.2891150803853658,0.2714965987117483,0.5195659322049916,0.3695820103629872,0.5866820409339868,17,2,0.017037086855465844,0.3705904774487397,0.27859610839600824,0.31434647573714986
1,2021-02-24 18:00:00,0.3204528064943879,0.3734921500442578,0.3043447242147264,0.2891150803853658,0.24374149667093195,0.5485037815406234,0.3850313280207762,0.595157105794177,18,2,0.0,0.4999999999999999,0.368188155499554,0.34009213797994003
1,2021-02-24 19:00:00,0.28611397299983027,0.3322119172727866,0.2932153812757913,0.28475929763003077,0.24700680279338094,0.5485037815406234,0.38485966859237153,0.6067070241568175,19,2,0.01703708685546579,0.6294095225512601,0.3734921500442578,0.35796407427219945
1,2021-02-24 20:00:00,0.2528064765762987,0.30317633516562914,0.26753228218594094,0.288328619610097,0.2406122448979592,0.5583689574676131,0.38786370292470407,0.6122801960219083,20,2,0.0669872981077807,0.75,0.3322119172727866,0.3362934674942245
1,2021-02-24 21:00:00,0.2341720925552034,0.28571861557945627,0.24384675745520834,0.2839728368547619,0.2438775510204082,0.5787569877669293,0.3890653163486508,0.6175266647448834,21,2,0.14644660940672616,0.8535533905932737,0.30317633516562914,0.30703562267262396
1,2021-02-24 22:00:00,0.23214457776892225,0.2846578165250345,0.23328815006614054,0.2891150803853658,0.23972789108417017,0.5879644852485819,0.3890653163486508,0.6200249832228308,22,2,0.24999999999999978,0.9330127018922192,0.28571861557945627,0.2911842557567066
1,2021-02-24 23:00:00,0.22950763663386162,0.28359701765246403,0.22087465217271288,0.2891150803853658,0.24088435381378911,0.5879644852485819,0.3890653163486508,0.6193907946958778,23,2,0.3705904774487392,0.9829629131445341,0.2846578165250345,0.2846578165856516
1,2021-02-25 00:00:00,0.21941694189036284,0.276171425180768,0.2245844331378206,0.2891150803853658,0.23795918367346944,0.5984873396209086,0.3888936574352233,0.6212549245315654,0,3,0.5,1.0,0.28359701765246403,0.28147541978608887
1,2021-02-25 01:00:00,0.2213858579378748,0.2790507365102315,0.22515516868768792,0.2891150803853658,0.23544217679845586,0.6169023345842137,0.3880353618381316,0.6222926875756702,1,3,0.6294095225512604,0.9829629131445341,0.276171425180768,0.2796063931144878
1,2021-02-25 02:00:00,0.22728088638891156,0.27747469232030714,0.23171862735852033,0.2891150803853658,0.23931972781886401,0.5912528771740407,0.3839155437960544,0.623426539867397,2,3,0.75,0.9330127018922194,0.2790507365102315,0.2775656180037689
1,2021-02-25 03:00:00,0.22238203572344828,0.2694429290902639,0.21374045799562508,0.2819764364252333,0.2418367346938776,0.5879644852485819,0.3839155437960544,0.6236379360046123,3,3,0.8535533905932737,0.8535533905932737,0.27747469232030714,0.2753227859736008
1,2021-02-25 04:00:00,0.19852064840918338,0.2520155179238051,0.20575016047193034,0.28221842435608524,0.23734693877551025,0.5879644852485819,0.3839155437960544,0.6264053041222255,4,3,0.9330127018922193,0.75,0.2694429290902639,0.26631104644479203
1,2021-02-25 05:00:00,0.18183174091196502,0.23916469668299534,0.20803310262778768,0.2891150803853658,0.235850340063762,0.588622163693919,0.3837438848826269,0.6298452963966561,5,3,0.9829629131445341,0.6294095225512604,0.2520155179238051,0.25354104789902143
1,2021-02-25 06:00:00,0.1847499557680988,0.23855852574279687,0.2133124063441276,0.2891150803853658,0.23448979591836738,0.5958566259901736,0.37910908958529044,0.6332852887863938,6,3,1.0,0.5,0.23916469668299534,0.24324624678319914
1,2021-02-25 07:00:00,0.1954735163840121,0.24649936353184673,0.2258685880923131,0.2891150803853658,0.23843537422195238,0.6208484049550096,0.3809973391779242,0.6378014797347941,7,3,0.9829629131445341,0.3705904774487397,0.23855852574279687,0.24140752865254633
1,2021-02-25 08:00:00,0.2212848257533155,0.26296317204323355,0.22553893912633877,0.2891150803853658,0.2404644616018565,0.6274251889565404,0.3906635214815317,0.6364151449985587,8,3,0.9330127018922194,0.2500000000000001,0.24649936353184673,0.2493403537726257
1,2021-02-25 09:00:00,0.20846585673472318,0.25168630455166185,0.2102865239605433,0.2891150803853658,0.22425521929919687,0.6142716210538876,0.3884141955863727,0.6126115380032671,9,3,0.8535533905932737,0.14644660940672627,0.26296317204323355,0.2537162800422474
1,2021-02-25 10:00:00,0.19564688771613084,0.24040943706009021,0.1950341087947478,0.2891150803853658,0.2080459769965372,0.6011180531512348,0.38616486969121344,0.5888079310079755,10,3,0.75,0.06698729810778065,0.25168630455166185,0.25168630455166185
1,2021-02-25 11:00:00,0.1828279186975385,0.22913256956851852,0.17978169362895233,0.2891150803853658,0.19183673469387758,0.5879644852485819,0.3839155437960544,0.5650043240126839,11,3,0.6294095225512605,0.0170370868554659,0.24040943706009021,0.24040943706009021
1,2021-02-25 12:00:00,0.18596381046016927,0.23340919384130795,0.18308650417413663,0.2891150803853658,0.19311724689503856,0.585546549970144,0.38186447017541214,0.5688182162438743,12,3,0.5000000000000001,0.0,0.22913256956851852,0.2343170668233056
1,2021-02-25 13:00:00,0.18909970222279998,0.23768581811409742,0.18639131471932094,0.2891150803853658,0.1943977590961996,0.5831286146917062,0.3798133965547701,0.5726321084750648,13,3,0.37059047744873963,0.017037086855465844,0.23340919384130795,0.23340919384130795
1,2021-02-25 14:00:00,0.19223559398543072,0.24196244238688686,0.1896961252645053,0.2891150803853658,0.19567827129736062,0.5807106794132684,0.37776232293412804,0.5764460007062554,14,3,0.2500000000000001,0.06698729810778059,0.23768581811409742,0.2376858181140974
1,2021-02-25 15:00:00,0.19537148574806143,0.2462390666596763,0.1930009358096896,0.2891150803853658,0.19695878349852164,0.5782927441348306,0.37571124931348576,0.5802598929374461,15,3,0.14644660940672644,0.14644660940672605,0.24196244238688686,0.24196244238688686
1,2021-02-25 16:00:00,0.1985073775106922,0.2505156909324658,0.1963057463548739,0.2891150803853658,0.19823929569968265,0.5758748088563926,0.3736601756928435,0.5840737851686365,16,3,0.06698729810778076,0.24999999999999978,0.2462390666596763,0.2462390666596763
1,2021-02-25 17:00:00,0.20164326927332293,0.2547923152052552,0.19961055690005827,0.2891150803853658,0.19951980790084367,0.5734568735779548,0.37160910207220144,0.5878876773998271,17,3,0.017037086855465844,0.3705904774487397,0.2505156909324658,0.25051569093246573
1,2021-02-25 18:00:00,0.20477916103595364,0.25906893947804466,0.20291536744524258,0.2891150803853658,0.2008003201020047,0.5710389382995169,0.36955802845155916,0.5917015696310176,18,3,0.0,0.4999999999999999,0.2547923152052552,0.2547923152052552
1,2021-02-25 19:00:00,0.20791505279858438,0.26334556375083407,0.20622017799042688,0.2891150803853658,0.20208083230316573,0.5686210030210791,0.3675069548309169,0.5955154618622082,19,3,0.01703708685546579,0.6294095225512601,0.25906893947804466,0.25906893947804466
1,2021-02-25 20:00:00,0.21105094456121512,0.2676221880236236,0.2095249885356112,0.2891150803853658,0.20336134450432672,0.5662030677426413,0.36545588121027484,0.5993293540933987,20,3,0.0669872981077807,0.75,0.26334556375083407,0.2633455637508341
1,2021-02-25 21:00:00,0.21418683632384586,0.271898812296413,0.2128297990807955,0.2891150803853658,0.20464185670548773,0.5637851324642035,0.36340480758963256,0.6031432463245893,21,3,0.14644660940672616,0.8535533905932737,0.2676221880236236,0.2676221880236236
1,2021-02-25 22:00:00,0.21732272808647657,0.2761754365692024,0.21613460962597986,0.2891150803853658,0.20592236890664878,0.5613671971857656,0.3613537339689903,0.6069571385557798,22,3,0.24999999999999978,0.9330127018922192,0.271898812296413,0.27189881229641294
1,2021-02-25 23:00:00,0.2204586198491073,0.28045206084199187,0.21943942017116416,0.2891150803853658,0.2072028811078098,0.5589492619073277,0.359302660348348,0.6107710307869704,23,3,0.3705904774487392,0.9829629131445341,0.2761754365692024,0.2761754365692024
1,2021-02-26 00:00:00,0.22359451161173804,0.28472868511478133,0.22274423071634847,0.2891150803853658,0.20848339330897078,0.5565313266288898,0.35725158672770596,0.6145849230181608,0,4,0.5,1.0,0.28045206084199187,0.28045206084199187
1,2021-02-26 01:00:00,0.22673040337436878,0.28900530938757074,0.22604904126153283,0.2891150803853658,0.20976390551013183,0.554113391350452,0.3552005131070639,0.6183988152493514,1,4,0.6294095225512604,0.9829629131445341,0.28472868511478133,0.28472868511478133
