Station_No,date,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity,hour,day_of_week,hour_sin,hour_cos,PM2.5_lag1,PM2.5_roll3,PM2.5_lag2,PM2.5_lag3,PM2.5_lag6,PM2.5_lag12,PM2.5_lag24,PM2.5_roll3_mean,PM2.5_roll3_std,PM2.5_roll6_mean,PM2.5_roll6_std,PM2.5_roll12_mean,PM2.5_roll12_std,Temperature_lag1,Temperature_lag3,Humidity_lag1,Humidity_lag3,NO2_lag1,NO2_lag3,SO2_lag1,SO2_lag3,PM2.5_24h_avg
1,2021-02-24 20:00:00,0.2528064765762987,0.3031763351656291,0.2675322821859409,0.288328619610097,0.2406122448979592,0.5583689574676131,0.387863702924704,0.6122801960219083,20,0.3333333333333333,0.0669872981077807,0.75,0.3322119172727866,0.3362934674942244,0.3734921500442578,0.368188155499554,0.3028732496955298,0.2855064557322016,0.2837745390199934,0.3362934674942244,0.0646936822242412,0.3253199716156871,0.0770898938450631,0.4059870553921617,0.3046169396591223,0.3848596685923715,0.3695820103629872,0.6067070241568175,0.5866820409339868,0.2470068027933809,0.2714965987117483,0.5485037815406234,0.5195659322049916,0.3176056891776205
1,2021-02-24 21:00:00,0.2341720925552034,0.2857186155794562,0.2438467574552083,0.2839728368547619,0.2438775510204082,0.5787569877669293,0.3890653163486508,0.6175266647448834,21,0.3333333333333333,0.1464466094067261,0.8535533905932737,0.3031763351656291,0.307035622672624,0.3322119172727866,0.3734921500442578,0.2962551633158872,0.5619506577815037,0.2837745390199934,0.307035622672624,0.0429989804351064,0.323563880326282,0.0805312539890573,0.3829677185419911,0.292903480937767,0.387863702924704,0.3850313280207762,0.6122801960219083,0.595157105794177,0.2406122448979592,0.2437414966709319,0.5583689574676131,0.5485037815406234,0.3176866923675981
1,2021-02-24 22:00:00,0.2321445777689222,0.2846578165250345,0.2332881500661405,0.2891150803853658,0.2397278910841701,0.5879644852485819,0.3890653163486508,0.6200249832228308,22,0.3333333333333333,0.2499999999999997,0.9330127018922192,0.2857186155794562,0.2911842557567066,0.3031763351656291,0.3322119172727866,0.2785961083960082,0.7565011820674898,0.2653958474388705,0.2911842557567066,0.0190390694849779,0.3245741650144531,0.078034552030594,0.3436474380801198,0.1474640150080834,0.3890653163486508,0.3848596685923715,0.6175266647448834,0.6067070241568175,0.2438775510204082,0.2470068027933809,0.5787569877669293,0.5485037815406234,0.3184892744128549
1,2021-02-24 23:00:00,0.2295076366338616,0.283597017652464,0.2208746521727128,0.2891150803853658,0.2408843538137891,0.5879644852485819,0.3890653163486508,0.6193907946958778,23,0.3333333333333333,0.3705904774487392,0.982962913144534,0.2846578165250345,0.2846578165856516,0.2857186155794562,0.3031763351656291,0.368188155499554,0.4887252227899948,0.2443474571851404,0.2846578165856516,0.0019421735373623,0.310475642039938,0.0707119028600051,0.3265534209853256,0.1127200062456376,0.3890653163486508,0.387863702924704,0.6200249832228308,0.6122801960219083,0.2397278910841701,0.2406122448979592,0.5879644852485819,0.5583689574676131,0.3201246727656601
1,2021-02-25 00:00:00,0.2194169418903628,0.276171425180768,0.2245844331378206,0.2891150803853658,0.2379591836734694,0.5984873396209086,0.3888936574352233,0.6212549245315654,0,0.5,0.5,1.0,0.283597017652464,0.2814754197860888,0.2846578165250345,0.2857186155794562,0.3734921500442578,0.4473237557941137,0.2248590652948199,0.2814754197860888,0.008465737836638,0.2942555212293564,0.0404435237830478,0.3122907267675467,0.0803342371221533,0.3890653163486508,0.3890653163486508,0.6193907946958778,0.6175266647448834,0.2408843538137891,0.2438775510204082,0.5879644852485819,0.5787569877669293,0.3222626877609079
1,2021-02-25 01:00:00,0.2213858579378748,0.2790507365102315,0.2251551686876879,0.2891150803853658,0.2354421767984558,0.6169023345842137,0.3880353618381316,0.6222926875756702,1,0.5,0.6294095225512604,0.982962913144534,0.276171425180768,0.2796063931144878,0.283597017652464,0.2846578165250345,0.3322119172727866,0.3625507668831857,0.2116142329610663,0.2796063931144878,0.0068544643435116,0.2853953244355972,0.0185115646618352,0.3053323909031339,0.0747634077188893,0.3888936574352233,0.3890653163486508,0.6212549245315654,0.6200249832228308,0.2379591836734694,0.2397278910841701,0.5984873396209086,0.5879644852485819,0.3250725420754565
1,2021-02-25 02:00:00,0.2272808863889115,0.2774746923203071,0.2317186273585203,0.2891150803853658,0.239319727818864,0.5912528771740407,0.3839155437960544,0.623426539867397,2,0.5,0.75,0.9330127018922194,0.2790507365102315,0.2775656180037688,0.276171425180768,0.283597017652464,0.3031763351656291,0.3028732496955298,0.2096744862797633,0.2775656180037688,0.0026397466318448,0.2811117172947102,0.007936072659386,0.3032158444551987,0.0768026980955587,0.3880353618381316,0.3890653163486508,0.6222926875756702,0.6193907946958778,0.2354421767984558,0.2408843538137891,0.6169023345842137,0.5879644852485819,0.3278975506604791
1,2021-02-25 03:00:00,0.2223820357234482,0.2694429290902639,0.213740457995625,0.2819764364252333,0.2418367346938776,0.5879644852485819,0.3839155437960544,0.6236379360046123,3,0.5,0.8535533905932737,0.8535533905932737,0.2774746923203071,0.2753227859736008,0.2790507365102315,0.276171425180768,0.2857186155794562,0.2962551633158872,0.204431108756339,0.2753227859736008,0.0094339035793715,0.2783991028798449,0.0108372244295238,0.3009814916030634,0.0796499170230845,0.3839155437960544,0.3888936574352233,0.623426539867397,0.6212549245315654,0.239319727818864,0.2379591836734694,0.5912528771740407,0.5984873396209086,0.330606376507726
1,2021-02-25 04:00:00,0.1985206484091833,0.2520155179238051,0.2057501604719303,0.2822184243560852,0.2373469387755102,0.5879644852485819,0.3839155437960544,0.6264053041222255,4,0.5,0.9330127018922192,0.75,0.2694429290902639,0.266311046444792,0.2774746923203071,0.2790507365102315,0.2846578165250345,0.2785961083960082,0.2024004364521913,0.266311046444792,0.0238292430835464,0.27295871977964,0.0220510390520853,0.2987664423970464,0.0844815878760226,0.3839155437960544,0.3880353618381316,0.6236379360046123,0.6222926875756702,0.2418367346938776,0.2354421767984558,0.5879644852485819,0.6169023345842137,0.3326736715690432
1,2021-02-25 05:00:00,0.181831740911965,0.2391646966829953,0.2080331026277876,0.2891150803853658,0.235850340063762,0.588622163693919,0.3837438848826269,0.6298452963966561,5,0.5,0.982962913144534,0.6294095225512604,0.2520155179238051,0.2535410478990214,0.2694429290902639,0.2774746923203071,0.283597017652464,0.368188155499554,0.2011274777323662,0.2535410478990214,0.0278229323934066,0.2655533329513951,0.0320108760309446,0.2880144874956666,0.0774062391795855,0.3839155437960544,0.3839155437960544,0.6264053041222255,0.623426539867397,0.2373469387755102,0.239319727818864,0.5879644852485819,0.5912528771740407,0.33425855569198615
